,instance,hidden_dim,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap,min_leaf
0,CTG_width,120,6,0.01,53,0.40784313725490196,0.3235294117647059,0.4444444444444444,13822.003754615784,0.9954184383137217,2.0
0,CTG_width,120,6,0.1,37,0.4745098039215686,0.4411764705882353,0.4444444444444444,13821.236050367355,0.95671438309475,2.0
0,CTG_width,120,6,0.1,42,0.5529411764705883,0.5117647058823529,0.45614035087719296,13822.95189833641,0.9463586530931849,2.0
0,CTG_width,120,6,0.1,53,0.5588235294117647,0.5,0.5497076023391813,13823.646177768707,0.9478815148106486,2.0
0,CTG_width,120,8,0.001,37,0.24901960784313726,0.25882352941176473,0.3157894736842105,13896.699708938599,1.0,2.0
0,CTG_width,120,8,0.001,42,0.26862745098039215,0.3176470588235294,0.19883040935672514,13896.80652141571,1.0,2.0
0,CTG_width,120,8,0.001,53,0.2725490196078431,0.2235294117647059,0.2807017543859649,13896.975006580353,1.0,2.0
0,CTG_width,120,8,0.01,37,0.24901960784313726,0.25882352941176473,0.3157894736842105,13889.733605146408,1.0,2.0
0,CTG_width,120,8,0.01,42,0.26862745098039215,0.3176470588235294,0.19883040935672514,13890.024220943451,1.0,2.0
0,CTG_width,120,8,0.01,53,0.2725490196078431,0.2235294117647059,0.2807017543859649,13890.377050638199,1.0,2.0
0,CTG_width,120,8,0.1,37,0.4745098039215686,0.4588235294117647,0.5146198830409356,13889.127899885178,0.9616892911010547,2.0
0,CTG_width,120,8,0.1,42,0.43529411764705883,0.4588235294117647,0.3567251461988304,13889.422620773315,0.9965123652504755,2.0
0,CTG_width,120,8,0.1,53,0.4647058823529412,0.4,0.4152046783625731,13889.995008945465,0.9537898936170213,2.0
