instance,depth,seed,train_acc,val_acc,test_acc,train_time
monks-1,4,53,0.8633093525179856,0.8273381294964028,0.7841726618705036,0.001734018325805664
monks-1,5,37,0.8669064748201439,0.8057553956834532,0.7553956834532374,0.0006060600280761719
monks-1,5,42,0.7841726618705036,0.6834532374100719,0.7338129496402878,0.0005958080291748047
monks-1,5,53,0.8812949640287769,0.8201438848920863,0.762589928057554,0.0008950233459472656
monks-2,2,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.0005869865417480469
monks-2,2,42,0.64,0.68,0.6688741721854304,0.0003719329833984375
monks-2,2,53,0.6466666666666666,0.72,0.6158940397350994,0.0007560253143310547
monks-2,3,37,0.6766666666666666,0.6266666666666667,0.4966887417218543,0.0015721321105957031
monks-2,3,42,0.6566666666666666,0.66,0.6556291390728477,0.0006358623504638672
monks-2,3,53,0.6866666666666666,0.66,0.5629139072847682,0.0007779598236083984
monks-2,4,37,0.7166666666666667,0.6266666666666667,0.5827814569536424,0.0008120536804199219
monks-2,4,42,0.7033333333333334,0.64,0.6291390728476821,0.0005681514739990234
monks-2,4,53,0.7133333333333334,0.5866666666666667,0.5960264900662252,0.0006680488586425781
monks-2,5,37,0.8,0.7733333333333333,0.6688741721854304,0.000621795654296875
monks-2,5,42,0.7966666666666666,0.6666666666666666,0.6556291390728477,0.0009148120880126953
monks-2,5,53,0.82,0.78,0.7152317880794702,0.0008401870727539062
monks-3,2,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0007450580596923828
monks-3,2,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0010790824890136719
monks-3,2,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0005788803100585938
monks-3,3,37,0.9963898916967509,0.9637681159420289,1.0,0.0006420612335205078
monks-3,3,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.00041794776916503906
monks-3,3,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0004520416259765625
monks-3,4,37,0.9963898916967509,0.9637681159420289,1.0,0.00047898292541503906
monks-3,4,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,0.0004341602325439453
monks-3,4,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,0.0004458427429199219
monks-3,5,37,0.9963898916967509,0.9637681159420289,1.0,0.0004780292510986328
monks-3,5,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,0.0004029273986816406
monks-3,5,53,0.9963898916967509,0.9710144927536232,0.9856115107913669,0.0007102489471435547
balance-scale,2,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.0006289482116699219
balance-scale,2,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0008988380432128906
balance-scale,2,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0022649765014648438
balance-scale,3,37,0.782051282051282,0.6666666666666666,0.7515923566878981,0.0006489753723144531
balance-scale,3,42,0.8044871794871795,0.6794871794871795,0.6942675159235668,0.000637054443359375
balance-scale,3,53,0.8012820512820513,0.6923076923076923,0.7133757961783439,0.0005860328674316406
balance-scale,4,37,0.8365384615384616,0.7756410256410257,0.7643312101910829,0.0007159709930419922
balance-scale,4,42,0.8301282051282052,0.782051282051282,0.7452229299363057,0.0004811286926269531
balance-scale,4,53,0.842948717948718,0.7756410256410257,0.802547770700637,0.0006339550018310547
balance-scale,5,37,0.875,0.7948717948717948,0.7834394904458599,0.0005269050598144531
balance-scale,5,42,0.8685897435897436,0.7564102564102564,0.7388535031847133,0.000530242919921875
balance-scale,5,53,0.8814102564102564,0.7756410256410257,0.7898089171974523,0.0006880760192871094
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.0008561611175537109
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.00039315223693847656
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.00045108795166015625
breast-cancer,3,37,0.7971014492753623,0.782608695652174,0.7428571428571429,0.00044798851013183594
breast-cancer,3,42,0.8260869565217391,0.6956521739130435,0.7285714285714285,0.0003998279571533203
breast-cancer,3,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,0.0003769397735595703
breast-cancer,4,37,0.8260869565217391,0.782608695652174,0.7,0.00041294097900390625
breast-cancer,4,42,0.8695652173913043,0.7101449275362319,0.7428571428571429,0.00039696693420410156
breast-cancer,4,53,0.855072463768116,0.6956521739130435,0.6857142857142857,0.0004050731658935547
breast-cancer,5,37,0.8623188405797102,0.7391304347826086,0.6714285714285714,0.00043582916259765625
breast-cancer,5,42,0.9057971014492754,0.7101449275362319,0.6857142857142857,0.00042891502380371094
breast-cancer,5,53,0.8840579710144928,0.6956521739130435,0.6714285714285714,0.0004200935363769531
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0004780292510986328
car-evaluation,2,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.0005819797515869141
car-evaluation,2,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0004799365997314453
car-evaluation,3,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0009050369262695312
car-evaluation,3,42,0.7835648148148148,0.7939814814814815,0.8055555555555556,0.0013370513916015625
car-evaluation,3,53,0.8020833333333334,0.7893518518518519,0.7569444444444444,0.0005118846893310547
car-evaluation,4,37,0.8495370370370371,0.8240740740740741,0.8240740740740741,0.0005640983581542969
car-evaluation,4,42,0.8599537037037037,0.8819444444444444,0.8472222222222222,0.0006558895111083984
car-evaluation,4,53,0.8368055555555556,0.8356481481481481,0.8379629629629629,0.0005729198455810547
car-evaluation,5,37,0.875,0.8703703703703703,0.8425925925925926,0.0005822181701660156
car-evaluation,5,42,0.8692129629629629,0.8680555555555556,0.8564814814814815,0.0006008148193359375
car-evaluation,5,53,0.8680555555555556,0.8564814814814815,0.8032407407407407,0.0005650520324707031
hayes-roth,2,37,0.625,0.4,0.55,0.00032520294189453125
hayes-roth,2,42,0.5625,0.575,0.475,0.00030684471130371094
hayes-roth,2,53,0.5625,0.525,0.55,0.00032019615173339844
hayes-roth,3,37,0.675,0.425,0.625,0.0003228187561035156
hayes-roth,3,42,0.7125,0.6,0.6,0.0003829002380371094
hayes-roth,3,53,0.7,0.675,0.6,0.0003159046173095703
hayes-roth,4,37,0.7375,0.6,0.8,0.00030994415283203125
hayes-roth,4,42,0.7375,0.65,0.675,0.0003452301025390625
hayes-roth,4,53,0.7,0.675,0.6,0.0004773139953613281
hayes-roth,5,37,0.7875,0.525,0.775,0.00040912628173828125
hayes-roth,5,42,0.85,0.75,0.825,0.0003159046173095703
hayes-roth,5,53,0.8,0.775,0.75,0.0003619194030761719
house-votes-84,2,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0003619194030761719
house-votes-84,2,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.00036025047302246094
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0003409385681152344
